name,cuisine,rating,price_for_two,address,area,latitude,longitude,image_urls,phone,popular_dishes,ambiance_tags,url
Fateh Chand Kachori,,4.4,₹100,,Fateh Chand Kachori Civil Lines New Delhi,28.67297755,77.22435066,"https://b.zmtcdn.com/data/reviews_photos/e91/e5dceedc76c274460a611a1e0822ce91_1582275126.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/reviews_photos/4f6/8a5df04c712be9e16a8da4eaa723a4f6_1547815042.jpg, https://b.zmtcdn.com/data/reviews_photos/b3e/aaab365d4f7cfab41aa1a345c182fb3e_1601493799.jpg, https://b.zmtcdn.com/data/reviews_photos/64b/8ccead158c133f93ad66d55cceda564b_1587910325.jpg",,,"Bar, Family",https://www.zomato.com/ncr/fateh-chand-kachori-civil-lines-new-delhi/info
Cé La Vie Kitchen & Bar,,4.2,"₹2,200",,,28.6354845416,77.2194425014,"https://b.zmtcdn.com/data/pictures/3/20863533/b3d7d21e93d89ec7f70372a7dbd6ce8e.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/3/20863533/f58f0e6de0aa01965ceda8dfd56752d0.jpeg, https://b.zmtcdn.com/data/pictures/chains/3/20863533/f3e9b89ca34a9fe6710fa345bc4883fd.jpg, https://b.zmtcdn.com/data/pictures/3/20863533/e5caaea0eb81c296cce2a50e42a42e76.jpg",,,"Romantic, Casual Dining, Bar, Cafe, Family",https://www.zomato.com/tr/ncr/c%C3%A9-la-vie-kitchen-bar-connaught-place-new-delhi/info
"Golf Course Road Restaurants, Gurgaon",,4.4,"₹1,200",,,,,"https://b.zmtcdn.com/data/pictures/0/18261150/6c6cc1a5038651985e340c625edbf2d5_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/18138420/4c1fea0a4e843840e3814b8df07d39f4_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/chains/2/308322/9fceaa15fa05d707cc2d311ae9be066d_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/9/18303709/a05fc1e38f954ead38e3958385a00aa3_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/9/18765539/3bc230f10819cc046e0a266a409d5695_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/tr/ncr/restaurants/shake
The Mandi Chowk - Biryani Kitchen,,4.4,"₹1,400",,The Mandi Chowk Biryani Kitchen Connaught Place New Delhi,28.631588,77.216293,"https://b.zmtcdn.com/data/pictures/5/21848925/2097a39bdd2331123a13024fc2e2af67.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/5/21848925/b3c5fa686ca40dece7ad1f5c8e7c6091.jpg, https://b.zmtcdn.com/data/pictures/5/21848925/5e5623c7f47dfeba581a35423015f55c.jpg, https://b.zmtcdn.com/data/pictures/5/21848925/c4e0f0d4c188da0d65eeeb6223ed6773.jpg",,,"Casual Dining, Bar, Family",https://www.zomato.com/ncr/the-mandi-chowk-biryani-kitchen-connaught-place-new-delhi/info
Capital Kitchen - Taj Palace,,4.1,"₹5,500",,Capital Kitchen Taj Palace Chanakyapuri New Delhi,28.5952880391,77.1717590466,"https://b.zmtcdn.com/data/pictures/chains/0/18400770/5ae2a31e2e325590f6692f648c88eb10.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/0/18400770/8c733538d9b797b9e31493191bbde974.jpg, https://b.zmtcdn.com/data/pictures/chains/0/18400770/28ec39a43f4f36c740100bf8d8572ee6.jpg, https://b.zmtcdn.com/data/pictures/chains/0/18400770/528852698d0ce0e45bbed80cbdbcc61e.jpg",,,"Romantic, Bar, Fine Dining, Family, Lounge",https://www.zomato.com/ncr/capital-kitchen-taj-palace-chanakyapuri-new-delhi/info
A One Fast Food,,3.5,₹100,,A One Fast Food 3 Rohini New Delhi,,,"https://b.zmtcdn.com/data/pictures/8/20792538/512da70cc10016384d00b9d33e398491.jpeg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/8/20792538/4b0c89df99287b5a8e9ddcd01b429277.jpg, https://b.zmtcdn.com/data/menus/538/20792538/f4bb223b86439a590d3c09b881a92d01.jpg, https://b.zmtcdn.com/data/o2_assets/800315731f7ad44396cbac9e69d89f721613462226.png",,,"Bar, Family",https://www.zomato.com/ncr/a-one-fast-food-3-rohini-new-delhi/info
"Golf Course Road Restaurants, Gurgaon",,4.4,"₹1,200",,,,,"https://b.zmtcdn.com/data/pictures/0/18261150/6c6cc1a5038651985e340c625edbf2d5_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/chains/2/308322/9fceaa15fa05d707cc2d311ae9be066d_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/8/19546148/69c98131ea595bea8939c836c05bccd3_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/3/21019263/1933bd3cb4c5f73398f102e9405441cb_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/4/3344/272f4dda2e0323e4733d670d2ed82f4f_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/hi/ncr/restaurants/burger
"Golf Course Road Restaurants, Gurgaon",,3.5,₹500,,,,,"https://b.zmtcdn.com/data/pictures/1/20778821/1685fbe0b29836e80a1a2eb05d28116a_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/1/19223151/f3373e598ff44d6427ce8ccab58122d0_o2_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/7/19944907/7fec2f9c73359751c306279ebf79a43b_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/3/18946833/9c4c403a9210847f67a2e3dfea5599a4_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/8/20525978/7e59803fbee34f282f4d992f74b40c3a_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/hi/ncr/restaurants/bhojanalya
"Golf Course Road Restaurants, Gurgaon",,4.4,"₹1,200",,,,,"https://b.zmtcdn.com/data/pictures/0/18261150/6c6cc1a5038651985e340c625edbf2d5_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/7/21211387/2f1d171a86bd926d1eac435281c0b9e8_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/6/20008376/ff84da744bbfba795df60a537dbff851_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/chains/9/19265079/ea9e5ec7f5865092651dab3d3488054b_featured_v2.jpg, https://b.zmtcdn.com/data/pictures/0/18138420/4c1fea0a4e843840e3814b8df07d39f4_featured_v2.jpg",,,"Casual Dining, Bar, Cafe, Fine Dining, Family",https://www.zomato.com/hi/ncr/restaurants/caf%C3%A9
Yadav Ji Ke Mashoor Paranthe,,4.0,₹100,,Yadav Ji Ke Mashoor Paranthe Gamma 1,,,"https://b.zmtcdn.com/data/pictures/chains/7/302137/18e6d033ddf4988feb14e39b297c34d9.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/7/302137/1a572e602bdc05c10552219c53ca3fd9_featured_v2.jpg, https://b.zmtcdn.com/data/reviews_photos/eed/19497bfa1098c18546b50764908e1eed_1425052848.jpg, https://b.zmtcdn.com/data/reviews_photos/485/f61353b4d332c423ec88785fa600b485_1424519952.jpg",,,"Bar, Family",https://www.zomato.com/ncr/yadav-ji-ke-mashoor-paranthe-gamma-1/info
